Position,Track Name,Artist,Streams,URL,
58,Smile (with The Weeknd),Juice WRLD,6972,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF,
59,Nik Tendo - Scale To Fit,Yzomandias,6968,https://open.spotify.com/track/1fFIknTF8kfYEHNqcs46Yv,
60,Wishing Well,Juice WRLD,6829,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv,
61,Never Let Me Down,VIZE,6696,https://open.spotify.com/track/5TGcyccg8Hkgn9jB7gUpMN,
62,Be Kind (with Halsey),Marshmello,6676,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,
63,Some Say - Felix Jaehn Remix,Nea,6652,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv,
64,RÁJ,Decky,6602,https://open.spotify.com/track/49HB2EjRtkmXZAKpu3OdKT,
65,Nemám dost (feat. Indigo & KOJO),Calin,6563,https://open.spotify.com/track/7D2sgT3LkRnl6I7hunrsoj,
66,Hvězdáři,Kryštof,6521,https://open.spotify.com/track/4xJP2rJHIJXfxpIpzxhhIA,
67,Hollywood,LA Vision,6510,https://open.spotify.com/track/1XdMp6v9Q3N80WnKSbGfl4,
68,Blueberry Faygo,Lil Mosey,6499,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,
69,Laugh Now Cry Later (feat. Lil Durk),Drake,6471,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,
70,DaysGo,Gleb,6468,https://open.spotify.com/track/2SCEcyt2H9kGKgxjkBcPx8,
71,Hraješ Si Na Co,Nik Tendo,6461,https://open.spotify.com/track/38MzzUKqzNhAM9EoUTbsfM,
72,Señorita,Shawn Mendes,6441,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,
73,THE BADDEST,K/DA,6433,https://open.spotify.com/track/2V4Fx72svQRxrFvNT1eq5f,
74,Hranice,Ektor,6399,https://open.spotify.com/track/4EPelmX1wjCWn6gr4kx9Ez,
75,Naděje (feat. Václav Rouček),STEIN27,6337,https://open.spotify.com/track/3Jzu0NbSzttDtwXhxPDDIh,
76,Není Limit,Nik Tendo,6219,https://open.spotify.com/track/0csb0C9E7UGW7Yfi52wGPW,
77,Sedm,Nik Tendo,6201,https://open.spotify.com/track/7Kk3JdKFFQv1YN2hluyx1J,
78,Dopis V lahvi,Earth,6182,https://open.spotify.com/track/6jNTXE2Q1iks09h7PetAwR,
79,Řetězy,Renne Dang,6179,https://open.spotify.com/track/6w6g1fHzL9Zs6Nx92jWylL,
80,Lose Somebody,Kygo,6169,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza,
81,Plakala,DIVOKEJ BILL,6169,https://open.spotify.com/track/3h9EMra1EG4oncHLPiEJce,
82,Ice Cream (with Selena Gomez),BLACKPINK,6156,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX,
83,Robbery,Juice WRLD,6153,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,
84,goosebumps,Travis Scott,6133,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,
85,Toto Leto,Sima,6114,https://open.spotify.com/track/1x7dZO2T89GTea6Rh9FVZa,
86,Don't Start Now,Dua Lipa,6106,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,
87,Shallow,Lady Gaga,6056,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,
88,Aleiaio,Ben Cristovao,6043,https://open.spotify.com/track/4fUCTv421fKbSRFKuPi6ge,
89,Černobílej svět,Viktor Sheen,6042,https://open.spotify.com/track/49yeFC92MyOcVU8tiit4wj,
90,Fotbal a Rap,Labello,6038,https://open.spotify.com/track/1rNCFrpdHBD32kHmuEfMgM,
91,Falling,Trevor Daniel,5944,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7,
92,What's Love Got to Do with It,Kygo,5874,https://open.spotify.com/track/3Be7CLdHZpyzsVijme39cW,
93,Málem,Wesome,5853,https://open.spotify.com/track/05TV8Lt7t6bC3nLlpsoSkD,
94,Circles,Post Malone,5796,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,
95,Mefek Pump It Up,Gleb,5741,https://open.spotify.com/track/6uKjk59AeQVp1FqOrlZgjW,
96,Someone To You,BANNERS,5739,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr,
97,Vzlítnout,Neno 1312,5727,https://open.spotify.com/track/75eHVNWvQb6wTE1mEZY48z,
98,MAMACITA,Black Eyed Peas,5715,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3,
99,HIGHEST IN THE ROOM,Travis Scott,5693,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,
100,Stunnin' (feat. Harm Franklin),Curtis Waters,5689,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx,
101,Take You Dancing,Jason Derulo,5685,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3,
102,Tak se nezlob,Marek Ztraceny,5684,https://open.spotify.com/track/2c1bi72Up6wiYxDn49CFdD,
103,ily (i love you baby) (feat. Emilee),Surf Mesa,5653,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,
104,Party Girl,StaySolidRocky,5631,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP,
105,Lepšia Pesnička,DMS,5596,https://open.spotify.com/track/19hDtYa9xPLr8JlujoCNVO,
106,BUDE LÍP,MILION+,5594,https://open.spotify.com/track/1HURVedroTlzswJbtfbVEh,
107,In Your Eyes,The Weeknd,5548,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl,
108,Rave in the Grave,Redzed,5524,https://open.spotify.com/track/2SRczRe1bwFwwLZNHYVWG6,
109,Na Chvíli,Nik Tendo,5508,https://open.spotify.com/track/328Cr2ztwoeLCGvJIJH64p,
110,Pegas,STEIN27,5503,https://open.spotify.com/track/3BhStJ68w5wxjn8BWWAyT7,
111,Mortal combat,Earth,5494,https://open.spotify.com/track/3ve2nu3WuTvWIeAe8R0ZTh,
112,Godzilla (feat. Juice WRLD),Eminem,5457,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,
113,Rescue Me,OneRepublic,5437,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM,
114,High Hopes,Panic! At The Disco,5412,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,
115,"The Plan - From the Motion Picture ""TENET""",Travis Scott,5393,https://open.spotify.com/track/551xyaSJsg8hILXFq9JdST,
116,hot girl bummer,blackbear,5388,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9,
117,Jsme jenom fakani,CA$HANOVA BULHAR,5346,https://open.spotify.com/track/13T1GbptLNeMV9hD0qy4GR,
118,"Lemonade (feat. Gunna Don Toliver & NAV)",Internet Money,5320,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI,
119,Díky,Rest,5316,https://open.spotify.com/track/3UJKcvUrCRCL4YqgagK9xJ,
120,Lose Control,MEDUZA,5309,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,
121,Zatancuj si so mnou,Adam Ďurica,5303,https://open.spotify.com/track/3lmWugmDLOLAf6f09EnZ4N,
122,Tsunami,DIVOKEJ BILL,5291,https://open.spotify.com/track/5op1X8TfWNUmJnwRzCQ3qL,
123,Beautiful People (feat. Khalid),Ed Sheeran,5265,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,
124,ØTCHI,Mirai,5219,https://open.spotify.com/track/71BCQXb4lj0inm0cisGa3M,
125,The Box,Roddy Ricch,5173,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,
126,Neonový město,Sensey,5172,https://open.spotify.com/track/2vIeHhvghc8dOgCie9p6Az,
127,Viac,Nerieš,5118,https://open.spotify.com/track/2eLTkjdcbBCTew9qvn6hzz,
128,PROUD,Adam Mišík,5086,https://open.spotify.com/track/0ENrWxcjFcgyerCQjrdNj1,
129,Adore You,Harry Styles,5068,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,
130,Sweet but Psycho,Ava Max,5065,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,
131,bad guy,Billie Eilish,5035,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,
132,Believer,Imagine Dragons,5033,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,
133,Cizí zeď,ONEMANSHOW Foundation,5008,https://open.spotify.com/track/7nLZ336nDC44S0CCXcCBJm,
134,Zijeme len raz,Ego,4994,https://open.spotify.com/track/0STHJtR9k80lQprMIxAasD,
135,KURT,Majk Spirit,4986,https://open.spotify.com/track/4e8DYhGFvo6D557SISDfd8,
136,ROXANNE,Arizona Zervas,4974,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,
137,Higher Love,Kygo,4952,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY,
138,THE SCOTTS,THE SCOTTS,4941,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,
139,Memories,Maroon 5,4915,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,
140,Electric Love,BØRNS,4914,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ,
141,NMVR,Grey,4914,https://open.spotify.com/track/4ZUi91hQVp7hT1N74QZAcw,
142,Easy Easy,Reginald,4910,https://open.spotify.com/track/2TDoneAkT9o288m0Z96fRQ,
143,Be Alright,Dean Lewis,4864,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,
144,bloody valentine,Machine Gun Kelly,4862,https://open.spotify.com/track/1bWEngw5tAF7vWByrf5Oy5,
145,"Když nemůžeš tak přidej",Mirai,4845,https://open.spotify.com/track/7DdwITgxQe8MST37qt4t2q,
146,Lucid Dreams,Juice WRLD,4845,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,
147,Mala dama,Kabát,4780,https://open.spotify.com/track/0nVCQoIiDjnZWXHMRCD2Ko,
148,Láska a data,Chinaski,4777,https://open.spotify.com/track/6Gpa8kQw5Zi657IsB83EQz,
149,Mood Swings (feat. Lil Tjay),Pop Smoke,4741,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,
150,Let Me Down Slowly,Alec Benjamin,4732,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,
151,Sem sober,CA$HANOVA BULHAR,4728,https://open.spotify.com/track/3KOVDn7GSRJOt5UNUaOzx6,
152,Sám,Hasan,4713,https://open.spotify.com/track/1DOHjrGbhgzAXac1s5FfTR,
153,Kancelář - Official Remix,Ektor,4713,https://open.spotify.com/track/6Fc7mlF8R1I0yENYoZ201s,
154,Toosie Slide,Drake,4703,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,
